name,url
The University of Kent,www.kent.ac.uk/
King's College London (University of London),www.kcl.ac.uk/
Kingston University,www.kingston.ac.uk/
Kirklees College,https://www.kirkleescollege.ac.uk/
Lakes College - West Cumbria,www.lcwc.ac.uk/
Lancaster University,www.lancaster.ac.uk/
Leeds City College,www.leedscitycollege.ac.uk/
University of Leeds,www.leeds.ac.uk/
Leeds Trinity University College,www.leedstrinity.ac.uk/
Leeds Metropolitan University,www.leedsbeckett.ac.uk/
Leeds College of Art,www.leeds-art.ac.uk/
Leeds College of Music,www.lcm.ac.uk/
University of Leicester,www.le.ac.uk/
Leicester College,www.leicestercollege.ac.uk/
University of Lincoln,www.lincoln.ac.uk/
University of Liverpool,www.liv.ac.uk
Lincoln College,www.lincolncollege.ac.uk/
Liverpool Community College,www.liv-coll.ac.uk/
Liverpool Hope University,https://www.hope.ac.uk/
Liverpool Institute for Performing Arts,www.lipa.ac.uk
Liverpool John Moores University,https://www.ljmu.ac.uk/
Coleg Llandrillo Cymru,https://www.gllm.ac.uk/
"London College, UCK",www.lcuck.ac.uk/
London Electronics College,www.lec.org.uk/
London Metropolitan University,www.londonmet.ac.uk/
London School of Commerce,www.lsclondon.co.uk/
London School of Science and Technology,www.lsst.ac/
London School of Economics and Political Science (University of London),www.lse.ac.uk/
London South Bank University,www.lsbu.ac.uk/
Loughborough College,www.loucoll.ac.uk/
Loughborough University,www.lboro.ac.uk/
Manchester College,www.themanchestercollege.ac.uk/
University of Manchester,www.manchester.ac.uk/
Manchester Metropolitan University,www.law.mmu.ac.uk/
Medway School of Pharmacy,www.msp.ac.uk/
Coleg Menai,https://www.gllm.ac.uk/
Mid-Cheshire College,midchesh.ac.uk/
Middlesex University,www.mdx.ac.uk/
Moulton College,www.moulton.ac.uk/
Mountview Academy of Theatre Arts,www.mountview.org.uk
Myerscough College,www.myerscough.ac.uk/
Nazarene Theological College,nazarene.ac.uk/
Neath Port Talbot College,www.nptcgroup.ac.uk/
Newcastle University,www.ncl.ac.uk/
New College Durham,www.newcollegedurham.ac.uk/
New College Nottingham,https://www.ncn.ac.uk
New College Stamford,www.stamford.ac.uk/
New College Telford,www.nct.ac.uk/
Newcastle College,www.ncl-coll.ac.uk/
"Newman University College, Birmingham",www.newman.ac.uk/
"University of Wales, Newport",www.southwales.ac.uk/
University of Northampton,www.northampton.ac.uk/
Norwich University College Of The Arts,www.nua.ac.uk
Newham College of Further Education,www.newham.ac.uk/
"NESCOT College, Surrey",www.nescot.ac.uk/
North Devon College,"https://www.petroc.ac.uk/
"
North East Worcestershire College,www.howcollege.ac.uk/
North Glasgow College,www.glasgowkelvin.ac.uk/
North Lindsey College,www.northlindsey.ac.uk
Northumbria University,www.northumbria.ac.uk
North Warwickshire and Hinckley College,www.nwhc.ac.uk/
Northbrook College Sussex,https://www.northbrook.ac.uk/
City College Norwich,https://www.ccn.ac.uk/
University of Nottingham,www.nottingham.ac.uk/
Nottingham Trent University,www.ntu.ac.uk/
Northumberland College,www.northumberland.ac.uk/
Oxford University,www.ox.ac.uk/
Oxford Brookes University,https://www.brookes.ac.uk/
University of London Institute in Paris,ulip.london.ac.uk
Pembrokeshire College,www.pembrokeshire.ac.uk/
Oxford & Cherwell Valley College,www.activatelearning.ac.uk/
University Centre Peterborough,www.peterborough.ac.uk/
University of Plymouth,https://www.plymouth.ac.uk/
UCP Marjon - University College Plymouth St Mark & St John,www.marjon.ac.uk/
Peninsula College of Medicine & Dentistry,www.pcmd.ac.uk
University of Portsmouth,www.port.ac.uk/
"Queen Margaret University, Edinburgh",www.qmu.ac.uk/
"Queen Mary, University of London",www.qmul.ac.uk
Queen's University Belfast,www.qub.ac.uk/
Plymouth College of Art,www.plymouthart.ac.uk
The University of Reading,www.reading.ac.uk/
Regents Business School London,http://www.regents.ac.uk/about/schools/regents-business-school-london
"Richmond, The American International University in London",http://www.richmond.ac.uk/
Robert Gordon University,www.rgu.ac.uk/
Roehampton University,www.roehampton.ac.uk
Ravensbourne College of Design and Communication,www.ravensbourne.ac.uk/
Rose Bruford College,https://www.bruford.ac.uk
Rotherham College of Arts and Technology,www.rotherham.ac.uk/
Royal Academy of Dance,www.rad.org.uk
"Royal Holloway, University of London",https://www.royalholloway.ac.uk
Royal Veterinary College (University of London),www.rvc.ac.uk/
Royal Welsh College of Music and Drama (Coleg Brenhinol Cerdd a Drama Cymru),www.rwcmd.ac.uk/
Royal Agricultural College,www.rau.ac.uk/
Scottish Agricultural College,www.sruc.ac.uk
University of Salford,www.salford.ac.uk
SAE Institute,https://uk.sae.edu
Sandwell College,www.sandwell.ac.uk
School of Oriental and African Studies (University of London),www.soas.ac.uk/
School of Pharmacy (University of London),www.ucl.ac.uk/pharmacy
University of Sheffield,www.sheffield.ac.uk
Sheffield Hallam University,www.shu.ac.uk
Ruskin College Oxford,www.ruskin.ac.uk/
Shrewsbury College of Arts and Technology,www.shrewsbury.ac.uk
Sheffield College,www.sheffcol.ac.uk
University of Southampton,https://www.southampton.ac.uk
Solihull College,www.solihull.ac.uk
Southampton Solent University,www.solent.ac.uk
Somerset College of Arts and Technology,www.somerset.ac.uk/
South Cheshire College,www.scc.ac.uk
South Devon College,www.southdevon.ac.uk
University of St Andrews,www.st-andrews.ac.uk
Southwark College,https://www.lesoco.ac.uk/
South Downs College,southdowns.ac.uk/
South Nottingham College,www.centralnottingham.ac.uk/
South East Essex College (Partner of the University of Essex),www.southessex.ac.uk
Southport College,www.southport-college.ac.uk
"St George's, University of London",www.sgul.ac.uk
St Helens College,www.sthelens.ac.uk/
South Tyneside College,www.stc.ac.uk/
"St Mary's University College, Twickenham",www.stmarys.ac.uk/
Sparsholt College Hampshire,www.sparsholt.ac.uk/
Staffordshire University,www.staffs.ac.uk/
Staffordshire University Regional Federation,www.staffs.ac.uk/
Stephenson College Coalville,www.stephensoncoll.ac.uk
University of Stirling,www.stir.ac.uk
Stockport College,www.stockport.ac.uk/
Stourbridge College,www.bmetc.ac.uk/stourbridge
University of Strathclyde,www.strath.ac.uk/
Stranmillis University College: A College of Queen's University Belfast,www.stran.ac.uk/
University Campus Suffolk,https://www.ucs.ac.uk
University of Sunderland,www.sunderland.ac.uk/
University of Surrey,www.surrey.ac.uk
University of Sussex,www.sussex.ac.uk
Swansea University,www.swansea.ac.uk
Swansea Metropolitan University,www.uwtsd.ac.uk/
Stratford upon Avon College,www.stratford.ac.uk
Swindon College,www.swindon-college.ac.uk/
Teesside University,www.tees.ac.uk/
Thames Valley University,www.uwl.ac.uk
The University of Wales Trinity Saint David,www.uwtsd.ac.uk/
Tameside College,www.tameside.ac.uk/
Truro and Penwith College,www.truro-penwith.ac.uk
University of Ulster,https://www.ulster.ac.uk/
University of the West of Scotland,www.uws.ac.uk/
University of the Arts London,www.arts.ac.uk/
University College London (University of London),www.ucl.ac.uk
Uxbridge College,www.uxbridge.ac.uk/
Tyne Metropolitan College,www.tynemet.ac.uk
Wakefield College,www.wakefield.ac.uk/
Warrington Collegiate,www.warrington.ac.uk
University of Warwick,www2.warwick.ac.uk
Walsall College,www.walsallcollege.ac.uk
Warwickshire College,www.warwickshire.ac.uk
West Cheshire College,https://www.west-cheshire.ac.uk/
"West Herts College, Watford Associate College of University of Hertfordshire",www.westherts.ac.uk/
University of Westminster,www.westminster.ac.uk/
Westminster Kingsway College,www.westking.ac.uk/
West Thames College,www.west-thames.ac.uk/
Wigan and Leigh College,https://www.wigan-leigh.ac.uk
Wirral Metropolitan College,wmc.ac.uk
Wiltshire College,www.wiltshire.ac.uk/
University of Wolverhampton,www.wlv.ac.uk/
University of Winchester,www.winchester.ac.uk/
University of Worcester,www.worcester.ac.uk
Worcester College of Technology,www.howcollege.ac.uk/
Writtle College,www.writtle.ac.uk/
University of York,www.york.ac.uk/
York College,www.yorkcollege.ac.uk/
York St John University,www.yorksj.ac.uk
Yorkshire Coast College of Further and Higher Education,www.yorkshirecoastcollege.ac.uk/
Athabasca University,athabascau.ca
Concordia University College of Alberta,concordia.ab.ca
Mount Royal University,mtroyal.ca
The King's University College,kingsu.ca
The University of Calgary,ucalgary.ca
The University of Lethbridge,uleth.ca
University of Alberta,ualberta.ca
Emily Carr University of Art & Design,ecuad.ca
Kwantlen Polytechnic University,kwantlen.ca
Royal Roads University,royalroads.ca
Simon Fraser University,sfu.ca
Thompson Rivers University,tru.ca
Trinity Western University,twu.ca
University of British Columbia,you.ubc.ca
University of Northern British Columbia,unbc.ca
University of Victoria,uvic.ca
University of the Fraser Valley,ucfv.ca
Vancouver Island University,viu.ca
Brandon University,brandonu.ca
Canadian Mennonite University,cmu.ca
College universite de Saint-Boniface,cusb.ca
St. Andrew's College,st.andrews@umanitoba.ca
St. John's College,umanitoba.ca/colleges/st_johns
St. Paul's College,umanitoba.ca/st.pauls
University of Manitoba,umanitoba.ca
University of Winnipeg,uwinnipeg.ca
Mount Allison University,mta.ca
St. Thomas University,stu.ca
University of New Brunswick-Fredericton,unb.ca
University of New Brunswick-St.John,unb.ca
Universite de Moncton,umoncton.ca
Memorial University of Newfoundland,mun.ca
Acadia University,acadiau.ca
Cape Breton University,cbu.ca
Dalhousie University,dal.ca
Mount Saint Vincent University,msvu.ca
Nova Scotia Agricultural College,nsac.ca
NSCAD University,nscad.ca
St. Francis Xavier University,stfx.ca
Saint Mary's University,smu.ca
University of King's College,ukings.ca
Universite Sainte-Anne,usainteanne.ca
Algoma University,algomau.ca
Brescia University College,brescia.uwo.ca
Brock University,brocku.ca
Carleton University,carleton.ca
Dominican University College,dominicancollege.ca
Huron University College,huronuc.ca
King's University College at The U of Western Ontario,kings.uwo.ca
Lakehead University,lakeheadu.ca
Laurentian University of Sudbury,laurentian.ca
McMaster University,mcmaster.ca
Nipissing University,nipissingu.ca
OCAD University,ocad.ca
Queen's University,queensu.ca
Redeemer University College,redeemer.ca
Royal Military College of Canada,rmc.ca
Ryerson University,ryerson.ca
Saint Paul University,ustpaul.ca
St Jerome's University,sju.ca
The University of Western Ontario,uwo.ca
Trent University,trentu.ca
University of Guelph,uoguelph.ca
University of Ontario Institute of Technology,uoit.ca
University of Ottawa,uottawa.ca
University of St Michael's College,utoronto.ca/stmikes
University of Sudbury,usudbury.ca
University of Toronto,utoronto.ca
University of Trinity College,trinity.utoronto.ca
University of Waterloo,uwaterloo.ca
University of Windsor,uwindsor.ca
Victoria University,vicu.utoronto.ca
Wilfrid Laurier University,wlu.ca
York University,yorku.ca
University of Prince Edward Island,upei.ca
Bishop's University,ubishops.ca
Concordia University,concordia.ca
HEC Montreal,hec.ca
Ecole Polytechnique de Montreal,polymtl.ca
McGill University,mcgill.ca
Universite de Montreal,umontreal.ca
Universite de Sherbrooke,usherbrooke.ca
Universite Laval,ulaval.ca
Universite du Quebec Abitibi-Temiscamingue,uqat.ca
Universite du Quebec Chicoutimi,uqac.ca
Universite du Quebec Ecole nationale d'administration publique,
Universite du Quebec Ecole de technologie superieure,etsmtl.ca
Universite du Quebec Institut national de la recherche scientifique,
Universite du Quebec Montreal,uqam.ca
Universite du Quebec Rimouski,uqar.ca
Universite du Quebec Trois-Rivieres,uqtr.ca
Universite du Quebec,uquebec.ca
Universite du Quebec en Outaouais,uqo.ca
Campion College,campioncollege.ca
First Nations University of Canada,firstnationsuniversity.ca
Luther College,luthercollege.edu
St. Thomas More College,stmcollege.ca
The University of Regina,uregina.ca
University of Saskatchewan,usask.ca
Australian College of Applied Education,www.asthm.edu.au
Australian Campus Network,www.latrobe.edu.au/acn
Australian Catholic University,https://www.acu.edu.au/
Australian Institute of Commerce & Language,www.aicl.nsw.edu.au
Australian National University,www.anu.edu.au
Bond University,bond.edu.au
Central Queensland University,www.cqu.edu.au
Charles Darwin University,www.cdu.edu.au/international
Charles Stuart University,www.csu.edu.au/international
Charles Stuart University,www.csu.edu.au/international
Charles Stuart University,www.csu.edu.au/international
Charles Stuart University,www.csu.edu.au/international
Charles Stuart University,www.csu.edu.au/international
Charles Stuart University,www.csu.edu.au/international
Charles Stuart University,www.csu.edu.au/international
Charles Stuart University,www.csu.edu.au/international
Charles Stuart University,www.csu.edu.au/international
Charles Stuart University,www.csu.edu.au/international
Charles Stuart University,www.csu.edu.au/international
Curtin International College,www.cic.edu.au
Curtin Sydney,www.sydney.curtin.edu.au
Curtin University,www.curtin.edu.au
Curtin University Perth,www.international.curtin.edu.au
Deakin University,www.deakin.edu.au/international
Deakin University,www.deakin.edu.au/international
Deakin University,www.deakin.edu.au/international
Deakin University,www.deakin.edu.au/international
Edith Cowan University,www.ecu.edu.au/international
Eynesbury International,www.eynesbury.sa.edu.au
Eynesbury International,www.eynesbury.sa.edu.au
Federation University,https://federation.edu.au/
Flinders University ,www.flinders.edu.au
Griffith University ,www.griffith.edu.au
International Institute of Business & Information Technology,www.iibit.nsw.edu.au
International Institute of Business & Information Technology,www.iibit.nsw.edu.au
James Cook University ,www.jcu.edu.au
King’s Own Institute,www.koi.edu.au
La Trobe University,www.latrobe.edu.au/international
Macquarie University,www.international.mq.edu.au
Martin College,www.martincollege.edu.au
Martin College,www.martincollege.edu.au
Martin College,www.martincollege.edu.au
Martin College,www.martincollege.edu.au
Melbourne Institute of Business & Technology,www.mibt.vic.edu.au
Melbourne Institute of Technology,www.mit.edu.au
Monash University ,www.monash.edu
Monash University ,www.monash.edu
Monash University ,www.monash.edu
Monash University ,www.monash.edu
Murdoch University,www.murdoch.edu.au/
Perth Institute of Business & Technology,www.pibt.wa.edu.au
Queensland Institute of Business & Technology,www.qibt.qld.edu.au
Queensland University of Technology ,https://www.qut.edu.au/
RMIT University,https://www.rmit.edu.au/
South Australia Institute of Business & Technology,www.saibt.sa.edu.au
Southern Cross University,scu.edu.au
Sterling Business College,www.sterling.edu.au
Swinburne University of Technology ,www.swinburne.edu.au/
Sydney Business & Travel Academy,www.sbta.com.au
Sydney Institute of Business & Technology,www.sibt.nsw.edu.au
Taylors College,www.taylorscollege.edu.au
Torrens University ,www.tua.edu.au
University of Adelaide,www.adelaide.edu.au
University of Canberra ,www.canberra.edu.au/
University of Melbourne,www.unimelb.edu.au
University of New England ,www.une.edu.au
University of New South Wales,www.unsw.edu.au/
University of Newcastle,www.newcastle.edu.au
University of Notre Dame,www.nd.edu.au
University of Queensland ,www.uq.edu.au/
University of South Australia,www.unisa.edu.au
University of Southern Queensland,www.usq.edu.au
University of Sydney,sydney.edu.au
University of Tasmania ,www.utas.edu.au
University of Technology Sydney,www.uts.edu.au
University of the Sunshine Coast ,www.usc.edu.au
University of Western Australia,www.uwa.edu.au
University of Western Sydney,www.uws.edu.au
University of Wollongong,www.uow.edu.au
Victoria University,www.vu.edu.au
Victorian Institute of Technology,www.vit.edu.au
AUT University,www.aut.ac.nz
Lincoln University,www.lincoln.ac.nz
Massey University,www.massey.ac.nz
University of Auckland,https://www.auckland.ac.nz
University of Canterbury,www.canterbury.ac.nz
University of Otago,www.otago.ac.nz
University of Waikato,www.waikato.ac.nz
Victoria University of Wellington,www.victoria.ac.nz/
